ID,Type,Title,Location,Status,Last_Updated
WP-96-1000,WP,Requirements Definition,WBS/WBS_LEVEL_1.yaml,ACTIVE,2026-01-27
WP-96-2000,WP,Design Definition,WBS/WBS_LEVEL_1.yaml,ACTIVE,2026-01-27
WP-96-3000,WP,Verification & Validation,WBS/WBS_LEVEL_1.yaml,ACTIVE,2026-01-27
WP-96-4000,WP,Certification,WBS/WBS_LEVEL_1.yaml,ACTIVE,2026-01-27
SEC-96-10,SECTION,Identifier Grammar & Namespaces,96-10-identifier-grammar-namespaces/,ACTIVE,2026-01-28
SEC-96-20,SECTION,Schema Registry & Canonical Models,96-20-schema-registry-and-canonical-models/,ACTIVE,2026-01-28
SEC-96-30,SECTION,Ledger Anchoring & Hash Chain,96-30-ledger-anchoring-hash-chain/,ACTIVE,2026-01-28
SEC-96-40,SECTION,DPP SBOM & Config Effectivity,96-40-dpp-sbom-and-config-effectivity/,ACTIVE,2026-01-28
SEC-96-50,SECTION,Audit Evidence & Signoffs,96-50-audit-evidence-packs-and-signoffs/,ACTIVE,2026-01-28
SEC-96-60,SECTION,Export & Publishing Contracts,96-60-export-publishing-contracts/,ACTIVE,2026-01-28
SEC-96-70,SECTION,Governance Policies & Rules,96-70-governance-policies-and-rules/,ACTIVE,2026-01-28
SEC-96-80,SECTION,Security Privacy & Access Control,96-80-security-privacy-and-access-control/,ACTIVE,2026-01-28
